perturbation,param,group,EER,EER_threshold,ZeroFMR_FMR,ZeroFMR_FNMR,ZeroFMR_threshold,FMR100_FMR,FMR100_FNMR,FMR100_threshold,FMR1000_FMR,FMR1000_FNMR,FMR1000_threshold
gaussian_blur,σ=0.2,Asian,0.057166666666666664,0.3601013720035553,0.0,0.569,0.5556144118309021,0.008333333333333333,0.16766666666666666,0.42089471220970154,0.0013333333333333333,0.362,0.4944780468940735
gaussian_blur,σ=0.2,Caucasian,0.03816666666666667,0.3601013720035553,0.0,0.5336666666666666,0.5556144118309021,0.003,0.142,0.42089471220970154,0.0,0.321,0.4944780468940735
gaussian_blur,σ=0.2,Indian,0.053,0.3601013720035553,0.0,0.52,0.5556144118309021,0.005333333333333333,0.12566666666666668,0.42089471220970154,0.0,0.29033333333333333,0.4944780468940735
gaussian_blur,σ=0.4,overall,0.05491666666666664,0.3613359332084656,0.0,0.5391666666666667,0.5577093362808228,0.01,0.13649999999999995,0.4221072494983673,0.001,0.3145,0.4943608343601227
gaussian_blur,σ=0.4,African,0.0695,0.3613359332084656,0.0,0.5183333333333333,0.5577093362808228,0.023,0.10933333333333334,0.4221072494983673,0.0026666666666666666,0.29033333333333333,0.4943608343601227
gaussian_blur,σ=0.4,Asian,0.058333333333333334,0.3613359332084656,0.0,0.5773333333333334,0.5577093362808228,0.008333333333333333,0.17166666666666666,0.4221072494983673,0.0013333333333333333,0.36133333333333334,0.4943608343601227
gaussian_blur,σ=0.4,Caucasian,0.03833333333333333,0.3613359332084656,0.0,0.5383333333333333,0.5577093362808228,0.003,0.13833333333333334,0.4221072494983673,0.0,0.31933333333333336,0.4943608343601227
gaussian_blur,σ=0.4,Indian,0.0535,0.3613359332084656,0.0,0.5226666666666666,0.5577093362808228,0.005666666666666667,0.12666666666666668,0.4221072494983673,0.0,0.287,0.4943608343601227
gaussian_blur,σ=0.6,overall,0.05625000000000001,0.36305373907089233,0.0,0.544,0.5596855282783508,0.009916666666666667,0.14116666666666666,0.42432844638824463,0.001,0.3061666666666667,0.4927859902381897
gaussian_blur,σ=0.6,African,0.06816666666666667,0.36305373907089233,0.0,0.5276666666666666,0.5596855282783508,0.021333333333333333,0.116,0.42432844638824463,0.0026666666666666666,0.2816666666666667,0.4927859902381897
gaussian_blur,σ=0.6,Asian,0.06033333333333333,0.36305373907089233,0.0,0.5843333333333334,0.5596855282783508,0.007,0.17833333333333334,0.42432844638824463,0.0013333333333333333,0.35333333333333333,0.4927859902381897
gaussian_blur,σ=0.6,Caucasian,0.041,0.36305373907089233,0.0,0.5486666666666666,0.5596855282783508,0.003,0.145,0.42432844638824463,0.0,0.314,0.4927859902381897
gaussian_blur,σ=0.6,Indian,0.055499999999999994,0.36305373907089233,0.0,0.5153333333333333,0.5596855282783508,0.008333333333333333,0.12533333333333332,0.42432844638824463,0.0,0.27566666666666667,0.4927859902381897
gaussian_blur,σ=0.8,overall,0.058499999999999996,0.3639145493507385,0.0,0.48,0.5408726930618286,0.01,0.15974999999999995,0.43138599395751953,0.001,0.29074999999999995,0.48567694425582886
gaussian_blur,σ=0.8,African,0.07166666666666666,0.3639145493507385,0.0,0.46366666666666667,0.5408726930618286,0.019333333333333334,0.137,0.43138599395751953,0.0023333333333333335,0.275,0.48567694425582886
gaussian_blur,σ=0.8,Asian,0.06116666666666666,0.3639145493507385,0.0,0.5203333333333333,0.5408726930618286,0.008,0.195,0.43138599395751953,0.001,0.335,0.48567694425582886
gaussian_blur,σ=0.8,Caucasian,0.045000000000000005,0.3639145493507385,0.0,0.484,0.5408726930618286,0.003,0.164,0.43138599395751953,0.0,0.2966666666666667,0.48567694425582886
gaussian_blur,σ=0.8,Indian,0.05616666666666667,0.3639145493507385,0.0,0.452,0.5408726930618286,0.009666666666666667,0.143,0.43138599395751953,0.0006666666666666666,0.25633333333333336,0.48567694425582886
gaussian_blur,σ=1,overall,0.06425000000000002,0.36368051171302795,0.0,0.46575,0.5340626239776611,0.009916666666666667,0.17633333333333334,0.43495261669158936,0.001,0.33399999999999996,0.49589821696281433
gaussian_blur,σ=1,African,0.07783333333333334,0.36368051171302795,0.0,0.455,0.5340626239776611,0.018,0.15266666666666667,0.43495261669158936,0.002,0.31766666666666665,0.49589821696281433
gaussian_blur,σ=1,Asian,0.069,0.36368051171302795,0.0,0.49933333333333335,0.5340626239776611,0.008333333333333333,0.21066666666666667,0.43495261669158936,0.001,0.375,0.49589821696281433
gaussian_blur,σ=1,Caucasian,0.04766666666666667,0.36368051171302795,0.0,0.4756666666666667,0.5340626239776611,0.0036666666666666666,0.18033333333333335,0.43495261669158936,0.0,0.3446666666666667,0.49589821696281433
gaussian_blur,σ=1,Indian,0.0625,0.36368051171302795,0.0,0.433,0.5340626239776611,0.009666666666666667,0.16166666666666665,0.43495261669158936,0.001,0.2986666666666667,0.49589821696281433
gaussian_blur,σ=1.2,overall,0.07237500000000002,0.36198487877845764,0.0,0.55,0.5518524050712585,0.01,0.20816666666666672,0.4426942467689514,0.001,0.366,0.49915945529937744
gaussian_blur,σ=1.2,African,0.08983333333333333,0.36198487877845764,0.0,0.5493333333333333,0.5518524050712585,0.018,0.18933333333333333,0.4426942467689514,0.002,0.35433333333333333,0.49915945529937744
gaussian_blur,σ=1.2,Asian,0.07883333333333334,0.36198487877845764,0.0,0.5686666666666667,0.5518524050712585,0.008,0.23833333333333334,0.4426942467689514,0.001,0.404,0.49915945529937744
gaussian_blur,σ=1.2,Caucasian,0.050666666666666665,0.36198487877845764,0.0,0.5636666666666666,0.5518524050712585,0.0036666666666666666,0.217,0.4426942467689514,0.0,0.37266666666666665,0.49915945529937744
gaussian_blur,σ=1.2,Indian,0.07016666666666667,0.36198487877845764,0.0,0.5183333333333333,0.5518524050712585,0.010333333333333333,0.188,0.4426942467689514,0.001,0.333,0.49915945529937744
gaussian_blur,σ=1.4,overall,0.08229166666666668,0.36038827896118164,0.0,0.6029166666666667,0.5619754195213318,0.01,0.24341666666666661,0.4489268362522125,0.001,0.4245833333333333,0.5094683170318604
gaussian_blur,σ=1.4,African,0.10416666666666666,0.36038827896118164,0.0,0.608,0.5619754195213318,0.019,0.22833333333333333,0.4489268362522125,0.0016666666666666668,0.4186666666666667,0.5094683170318604
gaussian_blur,σ=1.4,Asian,0.08883333333333333,0.36038827896118164,0.0,0.6226666666666667,0.5619754195213318,0.008,0.2743333333333333,0.4489268362522125,0.0013333333333333333,0.45466666666666666,0.5094683170318604
gaussian_blur,σ=1.4,Caucasian,0.058333333333333334,0.36038827896118164,0.0,0.615,0.5619754195213318,0.003,0.25233333333333335,0.4489268362522125,0.0,0.43333333333333335,0.5094683170318604
gaussian_blur,σ=1.4,Indian,0.07783333333333334,0.36038827896118164,0.0,0.566,0.5619754195213318,0.01,0.21866666666666668,0.4489268362522125,0.001,0.39166666666666666,0.5094683170318604
gaussian_blur,σ=1.6,overall,0.09562500000000002,0.35730522871017456,0.0,0.7184166666666667,0.5897966027259827,0.01,0.2888333333333334,0.45485249161720276,0.001,0.501,0.5237799882888794
gaussian_blur,σ=1.6,African,0.12166666666666667,0.35730522871017456,0.0,0.731,0.5897966027259827,0.019666666666666666,0.28633333333333333,0.45485249161720276,0.0013333333333333333,0.5023333333333333,0.5237799882888794
gaussian_blur,σ=1.6,Asian,0.10166666666666667,0.35730522871017456,0.0,0.7226666666666667,0.5897966027259827,0.008,0.31633333333333336,0.45485249161720276,0.002,0.521,0.5237799882888794
gaussian_blur,σ=1.6,Caucasian,0.0675,0.35730522871017456,0.0,0.7433333333333333,0.5897966027259827,0.003,0.2926666666666667,0.45485249161720276,0.0,0.5126666666666667,0.5237799882888794
gaussian_blur,σ=1.6,Indian,0.09166666666666667,0.35730522871017456,0.0,0.6766666666666666,0.5897966027259827,0.009333333333333334,0.26,0.45485249161720276,0.0006666666666666666,0.468,0.5237799882888794
gaussian_blur,σ=1.8,overall,0.11045833333333335,0.3517996668815613,0.0,0.8016666666666666,0.6120733022689819,0.009916666666666667,0.34175,0.4614463150501251,0.001,0.5741666666666667,0.535440981388092
gaussian_blur,σ=1.8,African,0.13883333333333334,0.3517996668815613,0.0,0.819,0.6120733022689819,0.019666666666666666,0.3406666666666667,0.4614463150501251,0.0016666666666666668,0.5813333333333334,0.535440981388092
gaussian_blur,σ=1.8,Asian,0.11566666666666667,0.3517996668815613,0.0,0.794,0.6120733022689819,0.01,0.36633333333333334,0.4614463150501251,0.0016666666666666668,0.5846666666666667,0.535440981388092
gaussian_blur,σ=1.8,Caucasian,0.08216666666666667,0.3517996668815613,0.0,0.817,0.6120733022689819,0.002,0.351,0.4614463150501251,0.0,0.5946666666666667,0.535440981388092
gaussian_blur,σ=1.8,Indian,0.10516666666666666,0.3517996668815613,0.0,0.7766666666666666,0.6120733022689819,0.008,0.309,0.4614463150501251,0.0006666666666666666,0.536,0.535440981388092
gaussian_blur,σ=2,overall,0.12466666666666668,0.34588348865509033,0.0,0.83775,0.6200859546661377,0.01,0.3946666666666667,0.4670065641403198,0.001,0.62275,0.540361762046814
gaussian_blur,σ=2,African,0.15333333333333332,0.34588348865509033,0.0,0.859,0.6200859546661377,0.02033333333333333,0.4026666666666667,0.4670065641403198,0.0016666666666666668,0.6346666666666667,0.540361762046814
gaussian_blur,σ=2,Asian,0.12983333333333336,0.34588348865509033,0.0,0.8293333333333334,0.6200859546661377,0.008666666666666666,0.4103333333333333,0.4670065641403198,0.0013333333333333333,0.62,0.540361762046814
gaussian_blur,σ=2,Caucasian,0.09766666666666668,0.34588348865509033,0.0,0.8486666666666667,0.6200859546661377,0.0016666666666666668,0.4076666666666667,0.4670065641403198,0.0,0.6523333333333333,0.540361762046814
gaussian_blur,σ=2,Indian,0.11783333333333333,0.34588348865509033,0.0,0.814,0.6200859546661377,0.009333333333333334,0.358,0.4670065641403198,0.001,0.584,0.540361762046814
gaussian_blur,σ=2.2,overall,0.14495833333333336,0.33712589740753174,0.0,0.8911666666666667,0.6379098892211914,0.01,0.47650000000000003,0.4775836765766144,0.001,0.6886666666666666,0.5491448640823364
gaussian_blur,σ=2.2,African,0.17966666666666667,0.33712589740753174,0.0,0.9136666666666666,0.6379098892211914,0.018333333333333333,0.4876666666666667,0.4775836765766144,0.0016666666666666668,0.7073333333333334,0.5491448640823364
gaussian_blur,σ=2.2,Asian,0.14650000000000002,0.33712589740753174,0.0,0.8786666666666667,0.6379098892211914,0.009,0.48033333333333333,0.4775836765766144,0.0013333333333333333,0.6786666666666666,0.5491448640823364
gaussian_blur,σ=2.2,Caucasian,0.11616666666666667,0.33712589740753174,0.0,0.8976666666666666,0.6379098892211914,0.0013333333333333333,0.497,0.4775836765766144,0.0,0.719,0.5491448640823364
gaussian_blur,σ=2.2,Indian,0.1375,0.33712589740753174,0.0,0.8746666666666667,0.6379098892211914,0.011333333333333334,0.441,0.4775836765766144,0.001,0.6496666666666666,0.5491448640823364
gaussian_blur,σ=2.4,overall,0.1615833333333333,0.3283676505088806,0.0,0.9150833333333334,0.6456805467605591,0.01,0.5321666666666667,0.48202279210090637,0.001,0.7376666666666667,0.5545582175254822
gaussian_blur,σ=2.4,African,0.20183333333333334,0.3283676505088806,0.0,0.9393333333333334,0.6456805467605591,0.017666666666666667,0.55,0.48202279210090637,0.0013333333333333333,0.77,0.5545582175254822
gaussian_blur,σ=2.4,Asian,0.16,0.3283676505088806,0.0,0.8993333333333333,0.6456805467605591,0.008,0.5233333333333333,0.48202279210090637,0.0016666666666666668,0.7226666666666667,0.5545582175254822
gaussian_blur,σ=2.4,Caucasian,0.12916666666666665,0.3283676505088806,0.0,0.9186666666666666,0.6456805467605591,0.0013333333333333333,0.5586666666666666,0.48202279210090637,0.0,0.7573333333333333,0.5545582175254822
gaussian_blur,σ=2.4,Indian,0.15533333333333332,0.3283676505088806,0.0,0.903,0.6456805467605591,0.013,0.49666666666666665,0.48202279210090637,0.001,0.7006666666666667,0.5545582175254822
gaussian_blur,σ=2.6,overall,0.17908333333333337,0.3170905113220215,0.0,0.9321666666666667,0.6518161296844482,0.01,0.5855,0.48434174060821533,0.001,0.7949166666666667,0.5661321878433228
gaussian_blur,σ=2.6,African,0.21950000000000003,0.3170905113220215,0.0,0.9556666666666667,0.6518161296844482,0.017333333333333333,0.6183333333333333,0.48434174060821533,0.002,0.8303333333333334,0.5661321878433228
gaussian_blur,σ=2.6,Asian,0.17883333333333334,0.3170905113220215,0.0,0.9146666666666666,0.6518161296844482,0.009666666666666667,0.5666666666666667,0.48434174060821533,0.001,0.774,0.5661321878433228
gaussian_blur,σ=2.6,Caucasian,0.14466666666666667,0.3170905113220215,0.0,0.936,0.6518161296844482,0.002,0.6113333333333333,0.48434174060821533,0.0,0.818,0.5661321878433228
gaussian_blur,σ=2.6,Indian,0.17333333333333334,0.3170905113220215,0.0,0.9223333333333333,0.6518161296844482,0.011,0.5456666666666666,0.48434174060821533,0.001,0.7573333333333333,0.5661321878433228
gaussian_blur,σ=2.8,overall,0.1955,0.3084985911846161,0.0,0.9444166666666667,0.655402421951294,0.01,0.6355833333333334,0.48759645223617554,0.001,0.83575,0.574421226978302
gaussian_blur,σ=2.8,African,0.23566666666666664,0.3084985911846161,0.0,0.9643333333333334,0.655402421951294,0.016,0.6753333333333333,0.48759645223617554,0.002,0.874,0.574421226978302
gaussian_blur,σ=2.8,Asian,0.19633333333333333,0.3084985911846161,0.0,0.9313333333333333,0.655402421951294,0.011333333333333334,0.6073333333333333,0.48759645223617554,0.001,0.8123333333333334,0.574421226978302
gaussian_blur,σ=2.8,Caucasian,0.162,0.3084985911846161,0.0,0.9473333333333334,0.655402421951294,0.0013333333333333333,0.668,0.48759645223617554,0.0,0.8506666666666667,0.574421226978302
gaussian_blur,σ=2.8,Indian,0.188,0.3084985911846161,0.0,0.9346666666666666,0.655402421951294,0.011333333333333334,0.5916666666666667,0.48759645223617554,0.001,0.806,0.574421226978302
gaussian_blur,σ=3,overall,0.21299999999999997,0.2984049916267395,0.0,0.94925,0.6507683992385864,0.01,0.6770833333333333,0.4883747696876526,0.001,0.858,0.5753864049911499
gaussian_blur,σ=3,African,0.2545,0.2984049916267395,0.0,0.9683333333333334,0.6507683992385864,0.015333333333333332,0.7236666666666667,0.4883747696876526,0.0016666666666666668,0.8943333333333333,0.5753864049911499
gaussian_blur,σ=3,Asian,0.21300000000000002,0.2984049916267395,0.0,0.936,0.6507683992385864,0.012,0.6486666666666666,0.4883747696876526,0.001,0.8303333333333334,0.5753864049911499
gaussian_blur,σ=3,Caucasian,0.179,0.2984049916267395,0.0,0.9516666666666667,0.6507683992385864,0.002,0.706,0.4883747696876526,0.0,0.8706666666666667,0.5753864049911499
gaussian_blur,σ=3,Indian,0.20550000000000002,0.2984049916267395,0.0,0.941,0.6507683992385864,0.010666666666666666,0.63,0.4883747696876526,0.0013333333333333333,0.8366666666666667,0.5753864049911499
gaussian_blur,σ=3.2,overall,0.232875,0.2893495261669159,0.0,0.9406666666666667,0.6296623945236206,0.01,0.7223333333333333,0.49367064237594604,0.001,0.8830833333333333,0.5799264907836914
gaussian_blur,σ=3.2,African,0.2771666666666667,0.2893495261669159,0.0,0.9643333333333334,0.6296623945236206,0.014666666666666666,0.777,0.49367064237594604,0.0016666666666666668,0.9216666666666666,0.5799264907836914
gaussian_blur,σ=3.2,Asian,0.22916666666666666,0.2893495261669159,0.0,0.925,0.6296623945236206,0.014,0.6893333333333334,0.49367064237594604,0.001,0.8563333333333333,0.5799264907836914
gaussian_blur,σ=3.2,Caucasian,0.2003333333333333,0.2893495261669159,0.0,0.9443333333333334,0.6296623945236206,0.002,0.748,0.49367064237594604,0.0,0.8893333333333333,0.5799264907836914
gaussian_blur,σ=3.2,Indian,0.22483333333333333,0.2893495261669159,0.0,0.929,0.6296623945236206,0.009333333333333334,0.675,0.49367064237594604,0.0013333333333333333,0.865,0.5799264907836914
gaussian_blur,σ=3.4,overall,0.2486666666666667,0.28032660484313965,0.0,0.944,0.6242749094963074,0.01,0.7510833333333333,0.4951707124710083,0.001,0.90375,0.584182858467102
gaussian_blur,σ=3.4,African,0.2915,0.28032660484313965,0.0,0.9653333333333334,0.6242749094963074,0.013666666666666667,0.8073333333333333,0.4951707124710083,0.001,0.938,0.584182858467102
gaussian_blur,σ=3.4,Asian,0.24733333333333335,0.28032660484313965,0.0,0.9306666666666666,0.6242749094963074,0.013666666666666667,0.72,0.4951707124710083,0.0016666666666666668,0.881,0.584182858467102
gaussian_blur,σ=3.4,Caucasian,0.21799999999999997,0.28032660484313965,0.0,0.9483333333333334,0.6242749094963074,0.0036666666666666666,0.774,0.4951707124710083,0.0,0.907,0.584182858467102
gaussian_blur,σ=3.4,Indian,0.23783333333333334,0.28032660484313965,0.0,0.9316666666666666,0.6242749094963074,0.009,0.703,0.4951707124710083,0.0013333333333333333,0.889,0.584182858467102
gaussian_blur,σ=3.6,overall,0.26645833333333335,0.2722705006599426,0.0,0.9673333333333334,0.6557590961456299,0.01,0.7853333333333333,0.5001389980316162,0.001,0.923,0.5895993709564209
gaussian_blur,σ=3.6,African,0.30683333333333335,0.2722705006599426,0.0,0.984,0.6557590961456299,0.013666666666666667,0.8423333333333334,0.5001389980316162,0.0013333333333333333,0.954,0.5895993709564209
gaussian_blur,σ=3.6,Asian,0.2673333333333333,0.2722705006599426,0.0,0.9576666666666667,0.6557590961456299,0.013,0.7506666666666667,0.5001389980316162,0.0013333333333333333,0.9056666666666666,0.5895993709564209
gaussian_blur,σ=3.6,Caucasian,0.23783333333333334,0.2722705006599426,0.0,0.968,0.6557590961456299,0.0033333333333333335,0.8073333333333333,0.5001389980316162,0.0,0.924,0.5895993709564209
gaussian_blur,σ=3.6,Indian,0.25383333333333336,0.2722705006599426,0.0,0.9596666666666667,0.6557590961456299,0.01,0.741,0.5001389980316162,0.0013333333333333333,0.9083333333333333,0.5895993709564209
gaussian_blur,σ=3.8,overall,0.281625,0.2657926380634308,0.0,0.9775,0.672795295715332,0.01,0.815,0.5044125914573669,0.001,0.93925,0.6008552312850952
gaussian_blur,σ=3.8,African,0.32599999999999996,0.2657926380634308,0.0,0.988,0.672795295715332,0.012666666666666666,0.863,0.5044125914573669,0.0016666666666666668,0.9626666666666667,0.6008552312850952
gaussian_blur,σ=3.8,Asian,0.2823333333333333,0.2657926380634308,0.0,0.9693333333333334,0.672795295715332,0.013,0.785,0.5044125914573669,0.001,0.923,0.6008552312850952
gaussian_blur,σ=3.8,Caucasian,0.253,0.2657926380634308,0.0,0.98,0.672795295715332,0.004333333333333333,0.8363333333333334,0.5044125914573669,0.0,0.942,0.6008552312850952
gaussian_blur,σ=3.8,Indian,0.26516666666666666,0.2657926380634308,0.0,0.9726666666666667,0.672795295715332,0.01,0.7756666666666666,0.5044125914573669,0.0013333333333333333,0.9293333333333333,0.6008552312850952
gaussian_blur,σ=4,overall,0.296875,0.26106369495391846,0.0,0.9841666666666666,0.686873733997345,0.01,0.8370833333333334,0.5088555216789246,0.001,0.9565833333333333,0.617803692817688
gaussian_blur,σ=4,African,0.3426666666666667,0.26106369495391846,0.0,0.9903333333333333,0.686873733997345,0.012,0.8766666666666667,0.5088555216789246,0.001,0.9763333333333334,0.617803692817688
gaussian_blur,σ=4,Asian,0.2981666666666667,0.26106369495391846,0.0,0.979,0.686873733997345,0.012666666666666666,0.8123333333333334,0.5088555216789246,0.0013333333333333333,0.9436666666666667,0.617803692817688
gaussian_blur,σ=4,Caucasian,0.269,0.26106369495391846,0.0,0.9856666666666667,0.686873733997345,0.004666666666666667,0.8596666666666667,0.5088555216789246,0.0006666666666666666,0.9596666666666667,0.617803692817688
