perturbation,param,EER_FDR,EER_FDR_A,EER_FDR_B,EER_DoB,ZeroFMR_FDR,ZeroFMR_FDR_A,ZeroFMR_FDR_B,ZeroFMR_DoB,FMR100_FDR,FMR100_FDR_A,FMR100_FDR_B,FMR100_DoB,FMR1000_FDR,FMR1000_FDR_A,FMR1000_FDR_B,FMR1000_DoB
gaussian_noise,σ=6,0.9551666666666667,0.044833333333333336,0.044833333333333336,0.0170338714853018,0.9844999999999999,0.0,0.031000000000000028,0.0111977180214939,0.9598333333333333,0.020333333333333335,0.06,0.022275266552838374,0.9706666666666667,0.0036666666666666666,0.05499999999999999,0.020501185602572136
gaussian_noise,σ=8,0.9481666666666666,0.05183333333333334,0.05183333333333334,0.019984499201464456,0.9903333333333333,0.0,0.019333333333333313,0.007521727786146541,0.9603333333333334,0.02,0.05933333333333332,0.021765639332570853,0.97,0.003,0.056999999999999995,0.021331217342977247
gaussian_noise,σ=10,0.9433333333333334,0.05666666666666667,0.05666666666666667,0.022055288796315704,0.9871666666666666,0.0,0.025666666666666726,0.009298670753273185,0.9583333333333334,0.020999999999999998,0.06233333333333335,0.02338387383552084,0.9683333333333334,0.003,0.06033333333333324,0.022137669003056477
gaussian_noise,σ=20,0.9181666666666667,0.08183333333333334,0.08183333333333334,0.03343118450223118,0.9941666666666666,0.0,0.011666666666666714,0.004597704741377917,0.9635,0.016666666666666666,0.056333333333333346,0.021316888192750422,0.9805,0.0023333333333333335,0.036666666666666625,0.013796889746122724
gaussian_noise,σ=30,0.8956666666666666,0.10433333333333333,0.10433333333333333,0.04165422730981548,0.9961666666666666,0.0,0.0076666666666667105,0.003600732950078072,0.961,0.018333333333333333,0.05966666666666676,0.022051706913021028,0.9808333333333333,0.0016666666666666668,0.036666666666666625,0.01353390803377452
gaussian_noise,σ=40,0.876,0.124,0.124,0.04983031972493141,0.9953333333333334,0.0,0.009333333333333305,0.0038613109460676974,0.965,0.015333333333333334,0.05466666666666664,0.01935917812764213,0.9881666666666667,0.0016666666666666668,0.02199999999999991,0.009482439911049608
jpeg,q=5,0.8788333333333334,0.12116666666666664,0.12116666666666664,0.04884790738154046,0.9988333333333334,0.0,0.0023333333333332984,0.0009242113755341114,0.964,0.019666666666666666,0.05233333333333334,0.018924557825452326,0.9934999999999999,0.0033333333333333335,0.009666666666666712,0.0037155828016013333
jpeg,q=10,0.907,0.093,0.093,0.03553343495920427,0.9845,0.0,0.030999999999999917,0.011977989072553945,0.9671666666666667,0.014666666666666668,0.050999999999999934,0.020940391591371895,0.9823333333333334,0.0016666666666666668,0.03366666666666662,0.01383433731296473
jpeg,q=20,0.9383333333333334,0.061666666666666675,0.061666666666666675,0.024342891958205975,0.9881666666666666,0.0,0.023666666666666614,0.009664870522786211,0.9656666666666667,0.014666666666666666,0.05400000000000005,0.02186749871384473,0.9765,0.0013333333333333335,0.04566666666666663,0.01620528034657564
jpeg,q=40,0.9568333333333333,0.04316666666666666,0.04316666666666666,0.0161720351911014,0.986,0.0,0.027999999999999914,0.011903255857117384,0.9548333333333333,0.019333333333333334,0.07100000000000001,0.02618033082721115,0.9665,0.0023333333333333335,0.06466666666666665,0.025561880256002725
jpeg,q=60,0.9588333333333333,0.041166666666666664,0.041166666666666664,0.014813891753650993,0.9775,0.0,0.04500000000000004,0.018207141456033138,0.955,0.021666666666666664,0.06833333333333333,0.02510920592576002,0.9615,0.003,0.07400000000000001,0.028017355732156857
jpeg,q=80,0.9688333333333333,0.03116666666666667,0.03116666666666667,0.011158579160846999,0.9666666666666667,0.0,0.0666666666666666,0.025898707603962682,0.9596666666666667,0.019333333333333334,0.06133333333333335,0.022730302828309765,0.963,0.0026666666666666666,0.0713333333333333,0.027429075206187065
jpeg,q=100,0.9685,0.0315,0.0315,0.011249074035966991,0.9696666666666667,0.0,0.06066666666666665,0.022768612654753946,0.9596666666666667,0.020333333333333335,0.06033333333333332,0.02217481053407722,0.9626666666666667,0.0026666666666666666,0.07200000000000001,0.029405569200408276
motion_blur,k=1,0.9685,0.0315,0.0315,0.011249074035966991,0.9696666666666667,0.0,0.06066666666666665,0.022768612654753946,0.9596666666666667,0.020333333333333335,0.06033333333333332,0.02217481053407722,0.9626666666666667,0.0026666666666666666,0.07200000000000001,0.029405569200408276
motion_blur,k=3,0.9678333333333333,0.03216666666666667,0.03216666666666667,0.01196319587549897,0.9643333333333334,0.0,0.0713333333333333,0.025563102750296603,0.9576666666666667,0.018666666666666668,0.066,0.023650229033422347,0.9628333333333333,0.0026666666666666666,0.07166666666666666,0.02615233152979757
motion_blur,k=5,0.9576666666666667,0.04233333333333335,0.04233333333333335,0.015756392000990868,0.9908333333333333,0.0,0.018333333333333313,0.007374882296612514,0.9615,0.016666666666666666,0.06033333333333335,0.02133251951572737,0.9665,0.0013333333333333335,0.06566666666666665,0.023326784795356787
motion_blur,k=9,0.9461666666666667,0.053833333333333316,0.053833333333333316,0.020422788197936578,0.9835,0.0,0.03300000000000003,0.012767961205037136,0.9721666666666667,0.008666666666666666,0.04699999999999993,0.017465839675078743,0.9808333333333333,0.0016666666666666668,0.036666666666666736,0.014073961378691123
motion_blur,k=13,0.9345,0.0655,0.0655,0.024332013377441664,0.9795,0.0,0.041000000000000036,0.014984019264981392,0.9536666666666667,0.011666666666666665,0.08099999999999996,0.030932161436134895,0.973,0.0013333333333333335,0.05266666666666664,0.019375492825273424
motion_blur,k=17,0.9368333333333334,0.0631666666666666,0.0631666666666666,0.02463775755263091,0.988,0.0,0.02399999999999991,0.008730533902472498,0.9326666666666666,0.015333333333333332,0.11933333333333329,0.043040678433314675,0.9691666666666667,0.003,0.058666666666666645,0.020866640042581514
motion_blur,k=21,0.9333333333333333,0.06666666666666665,0.06666666666666665,0.02463775755263092,0.9941666666666666,0.0,0.011666666666666603,0.004455801461764926,0.9468333333333333,0.016666666666666666,0.08966666666666667,0.032226951281324905,0.9810000000000001,0.002,0.03599999999999992,0.012741827446118785
motion_blur,k=29,0.919,0.08100000000000002,0.08100000000000002,0.030902512483255765,0.9976666666666667,0.0,0.004666666666666597,0.0017539637649874134,0.9756666666666667,0.007333333333333333,0.04133333333333333,0.01500624869845892,0.9936666666666667,0.0016666666666666668,0.01100000000000001,0.004536885862938732
original,,0.9685,0.0315,0.0315,0.011249074035966991,0.9696666666666667,0.0,0.06066666666666665,0.022768612654753946,0.9596666666666667,0.020333333333333335,0.06033333333333332,0.02217481053407722,0.9626666666666667,0.0026666666666666666,0.07200000000000001,0.029405569200408276
